"","Symbol","Name","Branche"
"1","AACG","ATA Creativity Global ",NA
"2","AACQ","Artius Acquisition",NA
"3","AAL","American Airlines Group","Infrakstruktur"
"4","AAME","Atlantic American","Finanzen"
"5","AAOI","Applied Optoelectronics",NA
"6","AAON","AAON",NA
"7","AAPL","Apple","Technologie"
"8","AAWW","Atlas Air Worldwide Holdings ",NA
"9","AAXJ","iShares MSCI All Country Asia ex Japan Index Fund",NA
"10","AAXN","Axon Enterprise",NA
"11","ABCB","Ameris Bancorp ",NA
"12","ABCM","Abcam plc ",NA
"13","ABEO","Abeona Therapeutics","Chemie"
"14","ABIO","ARCA biopharma","Technologie"
"15","ABMD","ABIOMED",NA
"16","ABST","Absolute Software",NA
"17","ABTX","Allegiance Bancshares","Finanzen"
"18","ABUS","Arbutus Biopharma","Gesundheitswesen"
"19","ACACU","Acies Acquisition",NA
"20","ACAD","ACADIA Pharmaceuticals",NA
"21","ACAM","Acamar Partners Acquisition",NA
"22","ACBI","Atlantic Capital Bancshares","Finanzen"
"23","ACCD","Accolade",NA
"24","ACER","Acer Therapeutics","Technologie"
"25","ACET","Adicet Bio","Gesundheitswesen"
"26","ACEV","ACE Convergence Acquisition",NA
"27","ACGL","Arch Capital Group","Finanzen"
"28","ACHC","Acadia Healthcare Company",NA
"29","ACHV","Achieve Life Sciences ",NA
"30","ACIA","Acacia Communications",NA
"31","ACIU","AC Immune SA ",NA
"32","ACIW","ACI Worldwide",NA
"33","ACLS","Axcelis Technologies",NA
"34","ACMR","ACM Research",NA
"35","ACNB","ACNB","Finanzen"
"36","ACOR","Acorda Therapeutics","Gesundheitswesen"
"37","ACRS","Aclaris Therapeutics","Gesundheitswesen"
"38","ACRX","AcelRx Pharmaceuticals","Technologie"
"39","ACST","Acasti Pharma",NA
"40","ACTCU","ArcLight Clean Transition",NA
"41","ACTG","Acacia Research",NA
"42","ACWI","iShares MSCI ACWI Index Fund",NA
"43","ACWX","iShares MSCI ACWI ex US Index Fund",NA
"44","ADAP","Adaptimmune Therapeutics plc ",NA
"45","ADBE","Adobe",NA
"46","ADES","Advanced Emissions Solutions","Chemie"
"47","ADI","Analog Devices",NA
"48","ADIL","Adial Pharmaceuticals Inc ",NA
"49","ADMA","ADMA Biologics Inc ",NA
"50","ADMP","Adamis Pharmaceuticals","Gesundheitswesen"
"51","ADMS","Adamas Pharmaceuticals","Gesundheitswesen"
"52","ADOCU","Edoc Acquisition",NA
"53","ADP","Automatic Data Processing",NA
"54","ADPT","Adaptive Biotechnologies",NA
"55","ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund",NA
"56","ADSK","Autodesk",NA
"57","ADTN","ADTRAN",NA
"58","ADTX","ADiTx Therapeutics",NA
"59","ADUS","Addus HomeCare","Gesundheitswesen"
"60","ADV","Advantage Solutions ",NA
"61","ADVM","Adverum Biotechnologies","Technologie"
"62","ADXN","Addex Therapeutics Ltd ",NA
"63","ADXS","Advaxis","Technologie"
"64","AEGN","Aegion Corp ",NA
"65","AEHL","Antelope Enterprise Holdings Limited ",NA
"66","AEHR","Aehr Test Systems ",NA
"67","AEIS","Advanced Energy Industries",NA
"68","AEMD","Aethlon Medical","Gesundheitswesen"
"69","AEP","American Electric Power Company",NA
"70","AERI","Aerie Pharmaceuticals","Gesundheitswesen"
"71","AESE","Allied Esports Entertainment","Finanzen"
"72","AEY","ADDvantage Technologies Group",NA
"73","AEYE","AudioEye",NA
"74","AEZS","Aeterna Zentaris",NA
"75","AFIB","Acutus Medical",NA
"76","AFIN","American Finance Trust",NA
"77","AFMD","Affimed N.V. ",NA
"78","AFYA","Afya Limited ",NA
"79","AGBA","AGBA Acquisition Limited ",NA
"80","AGCUU","Altimeter Growth",NA
"81","AGEN","Agenus","Gesundheitswesen"
"82","AGFS","AgroFresh Solutions",NA
"83","AGIO","Agios Pharmaceuticals","Technologie"
"84","AGLE","Aeglea BioTherapeutics","Gesundheitswesen"
"85","AGMH","AGM Group Holdings",NA
"86","AGNC","AGNC Investment","Immobilien"
"87","AGRX","Agile Therapeutics","Gesundheitswesen"
"88","AGTC","Applied Genetic Technologies","Technologie"
"89","AGYS","Agilysys",NA
"90","AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund",NA
"91","AHAC","Alpha Healthcare Acquisition",NA
"92","AHCO","AdaptHealth ",NA
"93","AHPI","Allied Healthcare Products","Gesundheitswesen"
"94","AIA","iShares Asia 50 ETF",NA
"95","AIH","Aesthetic Medical International Holdings Group","Gesundheitswesen"
"96","AIHS","Senmiao Technology Limited ",NA
"97","AIKI","AIkido Pharma",NA
"98","AIMC","Altra Industrial Motion","Finanzen"
"99","AINV","Apollo Investment",NA
"100","AIQ","Global X Artificial Intelligence & Technology ETF",NA
"101","AIRG","Airgain","Technologie"
"102","AIRR","First Trust RBA American Industrial Renaissance ETF",NA
"103","AIRT","Air T","Infrakstruktur"
"104","AKAM","Akamai Technologies",NA
"105","AKBA","Akebia Therapeutics","Gesundheitswesen"
"106","AKER","Akers Biosciences","Gesundheitswesen"
"107","AKRO","Akero Therapeutics","Technologie"
"108","AKTS","Akoustis Technologies",NA
"109","AKTX","Akari Therapeutics Plc ",NA
"110","AKU","Akumin",NA
"111","AKUS","Akouos",NA
"112","ALAC","Alberton Acquisition",NA
"113","ALBO","Albireo Pharma","Gesundheitswesen"
"114","ALCO","Alico",NA
"115","ALDX","Aldeyra Therapeutics","Gesundheitswesen"
"116","ALEC","Alector","Technologie"
"117","ALGM","Allegro MicroSystems",NA
"118","ALGN","Align Technology","Gesundheitswesen"
"119","ALGS","Aligos Therapeutics",NA
"120","ALGT","Allegiant Travel Company ",NA
"121","ALIM","Alimera Sciences","Technologie"
"122","ALJJ","ALJ Regional Holdings","Finanzen"
"123","ALKS","Alkermes plc ",NA
"124","ALLK","Allakos","Gesundheitswesen"
"125","ALLO","Allogene Therapeutics","Gesundheitswesen"
"126","ALLT","Allot",NA
"127","ALNA","Allena Pharmaceuticals","Gesundheitswesen"
"128","ALNY","Alnylam Pharmaceuticals","Gesundheitswesen"
"129","ALOT","AstroNova",NA
"130","ALPN","Alpine Immune Sciences","Technologie"
"131","ALRM","Alarm.com Holdings",NA
"132","ALRN","Aileron Therapeutics","Gesundheitswesen"
"133","ALRS","Alerus Financial","Finanzen"
"134","ALSK","Alaska Communications Systems Group","Technologie"
"135","ALT","Altimmune","Gesundheitswesen"
"136","ALTA","Altabancorp ",NA
"137","ALTM","Altus Midstream Company ",NA
"138","ALTR","Altair Engineering",NA
"139","ALTY","Global X SuperDividend Alternatives ETF",NA
